Assay_No,File_name,Start_time_in_seconds,End_time_in_seconds,Notes
268,VID_20230419_084500,6,606,
269,VID_20230419_091000,3,603,
270,VID_20230419_094000,2,602,
271,VID_20230419_101000,2,602,
272,VID_20230419_103000,1,601,
273,VID_20230419_110500,2,602,
274,VID_20230419_113000,2,602,
275,VID_20230420_085000,7,607,
276,VID_20230420_092500,2,602,
277,VID_20230420_095500,2,602,
278,VID_20230420_103000,1,601,
279,VID_20230420_105500,2,602,
280,VID_20230420_112000,4,604,
281,VID_20230420_114500,4,604,
282,VID_20230422_094326,1,601,
283,VID_20230422_100910,2,602,
284,VID_20230422_103620,2,602,
285,VID_20230422_110902,4,604,
286,VID_20230422_113324,10,610,
287,VID_20230422_120551,6,603,
288,VID_20230423_095546,2,602,
289,VID_20230423_102557,1,601,
290,VID_20230423_104901,12,612,
291,VID_20230423_112226,1,601,
292,VID_20230423_114421,1,601,
293,VID_20230423_121026,20,620,
294,VID_20230423_123300,3,603,
295,VID_20230423_125428,1,601,
296,VID_20230425_092003,2,602,
297,VID_20230425_094342,2,602,
298,VID_20230425_100656,1,601,
299,VID_20230425_103511,2,602,
300,VID_20230425_105655,2,602,
301,VID_20230425_112019,3,603,
302,VID_20230425_114545,2,602,
303,VID_20230425_120735,1,601,
304,VID_20230426_092012,1,601,
305,VID_20230426_094958,2,602,
306,VID_20230426_101130,1,601,
307,VID_20230429_092527,1,601,
308,VID_20230429_094913,2,602,
309,VID_20230429_100843,4,604,
310,VID_20230429_103203,1,601,
311,VID_20230429_105458,2,602,
312,VID_20230429_111848,1,601,
313,VID_20230501_081445,3,603,
314,VID_20230501_083343,1,601,
315,VID_20230501_085230,1,601,
316,VID_20230502_094151,5,605,
317,VID_20230502_100244,2,602,
318,VID_20230502_102826,1,601,
319,VID_20230502_104355,2,602,
320,VID_20230502_110203,2,602,
321,VID_20230503_090956,1,601,
322,VID_20230503_092713,1,601,
323,VID_20230503_094453,2,602,
324,VID_20230503_100309,1,601,
325,VID_20230503_102207,2,602,
